iter	Passed	Remaining
348	861	1607
349	864	1605
350	867	1604
351	869	1601
352	872	1599
353	875	1597
354	877	1594
355	880	1591
356	881	1588
357	883	1585
358	885	1581
359	887	1578
360	890	1576
361	892	1573
362	894	1569
363	896	1567
364	899	1564
365	901	1560
366	903	1558
367	905	1554
368	907	1552
369	909	1549
370	912	1546
371	914	1543
372	916	1540
373	919	1538
374	920	1534
375	923	1531
376	925	1529
377	927	1526
378	929	1523
379	932	1520
380	933	1516
381	936	1514
382	937	1510
383	939	1507
384	941	1504
385	944	1501
386	946	1498
387	948	1496
388	950	1493
389	953	1491
390	956	1489
391	958	1487
392	961	1484
393	963	1481
394	965	1479
395	968	1476
396	970	1474
397	972	1471
398	975	1468
399	977	1466
400	979	1463
401	981	1459
402	983	1457
403	985	1454
404	988	1451
405	989	1448
406	992	1445
407	994	1443
408	996	1440
409	999	1438
410	1001	1435
411	1003	1432
412	1006	1430
413	1008	1427
414	1010	1424
415	1013	1422
416	1015	1420
417	1018	1417
418	1020	1414
419	1022	1412
420	1024	1409
421	1027	1407
422	1030	1405
423	1033	1403
424	1035	1401
425	1037	1398
426	1039	1395
427	1042	1392
428	1045	1391
429	1047	1388
430	1050	1386
431	1052	1383
432	1054	1380
433	1056	1377
434	1058	1375
435	1061	1373
436	1063	1370
437	1065	1367
438	1068	1365
439	1070	1362
440	1073	1360
441	1075	1357
442	1077	1354
443	1080	1352
444	1082	1349
445	1084	1347
446	1087	1344
447	1089	1342
448	1091	1339
449	1093	1336
450	1096	1334
451	1098	1331
452	1100	1329
453	1103	1326
454	1105	1324
455	1108	1321
456	1110	1319
457	1112	1316
458	1114	1313
459	1116	1311
460	1119	1309
461	1122	1306
462	1125	1304
463	1127	1302
464	1130	1300
465	1132	1297
466	1134	1294
467	1137	1292
468	1138	1289
469	1141	1286
470	1143	1284
471	1145	1281
472	1148	1279
473	1150	1276
474	1152	1273
475	1154	1271
476	1156	1267
477	1158	1265
478	1160	1262
479	1163	1260
480	1165	1257
481	1167	1255
482	1170	1252
483	1172	1249
484	1174	1246
485	1176	1244
486	1178	1241
487	1180	1238
488	1182	1236
489	1185	1233
490	1187	1231
491	1189	1227
492	1191	1225
493	1194	1223
494	1196	1221
495	1200	1219
496	1202	1217
497	1206	1215
498	1208	1213
499	1211	1211
500	1213	1209
501	1217	1207
502	1219	1205
503	1222	1202
504	1224	1200
505	1227	1198
506	1230	1196
507	1233	1194
508	1236	1192
509	1240	1191
510	1242	1189
511	1245	1187
512	1247	1184
513	1250	1182
514	1253	1180
515	1256	1178
516	1258	1176
517	1260	1173
518	1263	1170
519	1266	1169
520	1269	1167
521	1272	1165
522	1274	1162
523	1276	1159
524	1279	1157
525	1281	1155
526	1284	1153
527	1286	1150
528	1289	1147
529	1291	1145
530	1294	1142
531	1296	1140
532	1300	1139
533	1302	1136
534	1304	1134
535	1307	1131
536	1310	1129
537	1313	1127
538	1315	1125
539	1318	1123
540	1321	1120
541	1324	1118
542	1326	1116
543	1329	1114
544	1332	1112
545	1334	1109
546	1336	1107
547	1339	1104
548	1342	1102
549	1344	1100
550	1348	1098
551	1350	1096
552	1354	1094
553	1357	1092
554	1359	1090
555	1362	1087
556	1364	1085
557	1367	1082
558	1369	1080
559	1372	1078
560	1374	1075
561	1377	1073
562	1379	1070
563	1381	1067
564	1383	1065
565	1386	1062
566	1388	1060
567	1391	1058
568	1394	1056
569	1396	1053
570	1399	1051
571	1401	1048
572	1404	1046
573	1407	1044
574	1409	1042
575	1412	1039
576	1415	1037
577	1418	1035
578	1420	1032
579	1422	1030
580	1425	1027
581	1427	1025
582	1430	1023
583	1433	1020
584	1435	1018
585	1438	1016
586	1440	1013
587	1443	1011
588	1446	1009
589	1448	1006
590	1451	1004
591	1454	1002
592	1457	1000
593	1460	998
594	1463	996
595	1466	994
596	1469	991
597	1472	990
598	1475	987
599	1478	985
600	1481	983
601	1484	981
602	1486	978
603	1489	976
604	1491	974
605	1494	971
606	1497	969
607	1500	967
608	1502	964
609	1505	962
610	1508	960
611	1511	958
612	1513	955
613	1516	953
614	1518	950
615	1520	948
616	1523	945
617	1525	943
618	1528	940
619	1530	938
620	1533	935
621	1535	933
622	1538	930
623	1541	928
624	1544	926
625	1546	924
626	1549	921
627	1552	919
628	1554	916
629	1557	914
630	1559	912
631	1562	909
632	1564	907
633	1567	905
634	1570	902
635	1572	899
636	1574	897
637	1576	894
638	1579	892
639	1582	890
640	1586	888
641	1590	886
642	1592	884
643	1594	881
644	1597	879
645	1600	877
646	1603	874
647	1606	872
648	1609	870
649	1611	867
650	1614	865
651	1616	862
652	1626	864
653	1628	861
654	1631	859
655	1634	857
656	1637	854
657	1639	852
658	1642	850
659	1645	847
660	1648	845
661	1651	842
662	1654	840
663	1656	838
664	1660	836
665	1662	833
666	1665	831
667	1668	829
668	1671	826
669	1674	824
670	1677	822
671	1679	819
672	1682	817
673	1684	814
674	1687	812
675	1690	810
676	1692	807
677	1695	805
678	1697	802
679	1700	800
680	1703	797
681	1706	795
682	1708	792
683	1711	790
684	1713	787
685	1715	785
686	1718	782
687	1720	780
688	1723	777
689	1725	775
690	1728	773
691	1731	770
692	1734	768
693	1736	765
694	1740	763
695	1742	761
696	1746	759
697	1748	756
698	1751	754
699	1753	751
700	1756	749
701	1758	746
702	1761	744
703	1763	741
704	1766	739
705	1768	736
706	1770	733
707	1773	731
708	1775	728
709	1777	726
710	1780	723
711	1782	721
712	1785	718
713	1787	716
714	1790	713
715	1792	711
716	1795	708
717	1798	706
718	1801	703
719	1803	701
720	1806	699
721	1808	696
722	1811	693
723	1813	691
724	1816	688
725	1818	686
726	1821	683
727	1824	681
728	1826	679
729	1829	676
730	1833	674
731	1836	672
732	1838	669
733	1841	667
734	1843	664
735	1846	662
736	1848	659
737	1850	657
738	1853	654
739	1855	651
740	1857	649
741	1860	646
742	1862	644
743	1865	641
744	1867	639
745	1870	636
746	1872	634
747	1875	631
748	1877	629
749	1879	626
750	1883	624
751	1885	621
752	1888	619
753	1891	616
754	1894	614
755	1896	612
756	1899	609
757	1902	607
758	1904	604
759	1907	602
760	1909	599
761	1912	597
762	1914	594
763	1917	592
764	1919	589
765	1922	587
766	1924	584
767	1927	582
768	1929	579
769	1932	577
770	1935	574
771	1937	572
772	1940	569
773	1943	567
774	1945	564
775	1947	562
776	1950	559
777	1953	557
778	1956	554
779	1958	552
780	1961	550
781	1964	547
782	1966	545
783	1969	542
784	1971	540
785	1974	537
786	1976	534
787	1978	532
788	1980	529
789	1983	527
790	1985	524
791	1988	522
792	1992	520
793	1994	517
794	1997	514
795	1999	512
796	2002	509
797	2004	507
798	2006	504
799	2008	502
800	2011	499
801	2013	497
802	2015	494
803	2018	492
804	2020	489
805	2022	486
806	2025	484
807	2027	481
808	2030	479
809	2032	476
810	2034	474
811	2037	471
812	2039	469
813	2041	466
814	2043	463
815	2046	461
816	2048	458
817	2050	456
818	2053	453
819	2055	451
820	2057	448
821	2059	446
822	2062	443
823	2064	441
824	2067	438
825	2069	436
826	2072	433
827	2074	430
828	2076	428
829	2078	425
830	2081	423
831	2083	420
832	2085	418
833	2088	415
834	2090	413
835	2092	410
836	2095	408
837	2097	405
838	2099	402
839	2101	400
840	2103	397
841	2106	395
842	2108	392
843	2110	390
844	2112	387
845	2115	385
846	2117	382
847	2119	379
848	2122	377
849	2124	374
850	2126	372
851	2128	369
852	2131	367
853	2133	364
854	2136	362
855	2139	359
856	2140	357
857	2143	354
858	2145	352
859	2147	349
860	2150	347
861	2152	344
862	2154	342
863	2157	339
864	2159	336
865	2161	334
866	2163	331
867	2165	329
868	2167	326
869	2170	324
870	2172	321
871	2174	319
872	2177	316
873	2179	314
874	2181	311
875	2184	309
876	2186	306
877	2199	305
878	2201	303
879	2203	300
880	2205	297
881	2208	295
882	2210	292
883	2213	290
884	2215	287
885	2217	285
886	2220	282
887	2222	280
888	2225	277
889	2228	275
890	2231	272
891	2233	270
892	2235	267
893	2237	265
894	2239	262
895	2242	260
896	2244	257
897	2246	255
898	2249	252
899	2251	250
900	2254	247
901	2256	245
902	2258	242
903	2260	240
904	2262	237
905	2264	234
906	2266	232
907	2268	229
908	2271	227
909	2273	224
910	2275	222
911	2278	219
912	2280	217
913	2282	214
914	2284	212
915	2287	209
916	2289	207
917	2291	204
918	2293	202
919	2294	199
920	2297	197
921	2299	194
922	2301	191
923	2304	189
924	2306	186
925	2308	184
926	2310	181
927	2313	179
928	2315	176
929	2317	174
930	2320	171
931	2322	169
932	2324	166
933	2326	164
934	2329	161
935	2331	159
936	2334	156
937	2336	154
938	2338	151
939	2340	149
940	2343	146
941	2345	144
942	2348	141
943	2350	139
944	2352	136
945	2354	134
946	2357	131
947	2359	129
948	2361	126
949	2364	124
950	2367	121
951	2369	119
952	2370	116
953	2373	114
954	2375	111
955	2377	109
956	2380	106
957	2383	104
958	2385	102
959	2388	99
960	2391	97
961	2393	94
962	2395	92
963	2398	89
964	2400	87
965	2402	84
966	2404	82
967	2407	79
968	2409	77
969	2412	74
970	2414	72
971	2417	69
972	2419	67
973	2421	64
974	2424	62
975	2426	59
976	2429	57
977	2431	54
978	2433	52
979	2436	49
980	2438	47
981	2440	44
982	2443	42
983	2445	39
984	2447	37
985	2449	34
986	2452	32
987	2454	29
988	2456	27
989	2459	24
990	2461	22
991	2463	19
992	2465	17
993	2467	14
994	2470	12
995	2472	9
996	2475	7
997	2477	4
998	2479	2
999	2481	0
