iter	Logloss
0	0.6918217659
1	0.6903643608
2	0.689077282
3	0.6869685173
4	0.6856631279
5	0.6841141224
6	0.6823182106
7	0.6808876991
8	0.6796538353
9	0.678455162
10	0.6771454334
11	0.6759689331
12	0.6748454094
13	0.6736510277
14	0.6720219135
15	0.6707778931
16	0.6690479279
17	0.6678964138
18	0.6667473316
19	0.6655124664
20	0.664364624
21	0.6631518364
22	0.6616634846
23	0.6603668213
24	0.6591535568
25	0.6575300217
26	0.656478405
27	0.6552643776
28	0.6541146278
29	0.6528103828
30	0.651726675
31	0.6501801491
32	0.6490141869
33	0.6478262424
34	0.6463892937
35	0.6454146385
36	0.6441346645
37	0.6430864811
38	0.6416166306
39	0.6405456543
40	0.639640522
41	0.638018322
42	0.636737442
43	0.6356370926
44	0.6339958191
45	0.6327304363
46	0.6315063
47	0.6303869247
48	0.6291666985
49	0.6271544456
50	0.6261202812
51	0.6248580933
52	0.6238005638
53	0.6227697372
54	0.6217204094
55	0.6203771591
56	0.6189462662
57	0.6177843094
58	0.6166057587
59	0.6157855511
60	0.6147539616
61	0.6134115219
62	0.612172699
63	0.6109835148
64	0.6095987797
65	0.6087457657
66	0.6075900078
67	0.6058346748
68	0.6048796177
69	0.6039896488
70	0.6027462959
71	0.6020260811
72	0.6009067059
73	0.5999546051
74	0.5990991592
75	0.598151207
76	0.5972064495
77	0.5962309837
78	0.5953575611
79	0.5942295074
80	0.5933385849
81	0.5921565056
82	0.5910571575
83	0.5898815632
84	0.588538456
85	0.5873360634
86	0.5860039234
87	0.5848478794
88	0.5836578369
89	0.5826865673
90	0.5816679955
91	0.5804657936
92	0.5790718555
93	0.5779228687
94	0.5768639565
95	0.575806427
96	0.5749074459
97	0.573724699
98	0.5726857185
99	0.5716030598
100	0.5704822063
101	0.569203043
102	0.5681426048
103	0.5670207977
104	0.5660929203
105	0.5650607586
106	0.5634355068
107	0.5618148804
108	0.5606461525
109	0.5597786427
110	0.5587809563
111	0.5578551292
112	0.5568431377
113	0.5558571815
114	0.5546299934
115	0.5536773682
116	0.5523129463
117	0.5512154579
118	0.5501117706
119	0.5490580559
120	0.5481726646
121	0.54715271
122	0.5459624767
123	0.5447131634
124	0.5437375069
125	0.5426448345
126	0.5417635918
127	0.5407691479
128	0.5396566868
129	0.5385327339
130	0.5373935223
131	0.536433506
132	0.5354756355
133	0.5344153404
134	0.5335254669
135	0.5325327873
136	0.531508255
137	0.5305558205
138	0.5296541214
139	0.5286211967
140	0.5276240349
141	0.5263764381
142	0.5252625465
143	0.5244653225
144	0.5235586166
145	0.5225768089
146	0.5213470459
147	0.5204137802
148	0.5196977615
149	0.5190637589
150	0.5183618546
151	0.5171972275
152	0.5161073208
153	0.515434742
154	0.5145300865
155	0.5136027813
156	0.5127011776
157	0.5119683266
158	0.5111880302
159	0.5101488113
160	0.5093541622
161	0.5084823132
162	0.5075115204
163	0.5065403938
164	0.505610466
165	0.5049254417
166	0.5039222717
167	0.5033539295
168	0.5025371552
169	0.5012726784
170	0.5004377365
171	0.4995236874
172	0.498712492
173	0.497749424
174	0.496637249
175	0.4957559109
176	0.4952792168
177	0.4942552567
178	0.4934574127
179	0.4924153805
180	0.4915235043
181	0.4908748627
182	0.489902401
183	0.4890140057
184	0.4882463932
185	0.4871292114
186	0.4865316868
187	0.4857265949
188	0.4853277206
189	0.4844563007
190	0.4838375568
191	0.4830822468
192	0.4821254253
193	0.480821228
194	0.4795849323
195	0.4786544323
196	0.4777109146
197	0.4767536163
198	0.4760300159
199	0.4751499176
200	0.474459362
201	0.4735993385
202	0.4725488663
203	0.4716068268
204	0.4707511425
205	0.4701508522
206	0.4690952301
207	0.4684228897
208	0.4677549362
209	0.4668431282
210	0.4659116745
211	0.4650663376
212	0.4641777992
213	0.4633161068
214	0.4623094559
215	0.4617780685
216	0.4608756065
217	0.4601265907
218	0.4592495918
219	0.4583509445
220	0.4578215599
221	0.4572299957
222	0.4566325665
223	0.4560443878
224	0.4550076008
