,model,best_estimator,best_para,mean_test_accuracy,std_test_accuracy,mean_test_specificity,std_test_specificity,mean_test_sensitivity,std_test_sensitivity,mean_test_AUC,Accuracy,Precision,Recall,F1_Score,kappa_score
0,_DT,"DecisionTreeClassifier(criterion='entropy', max_features='sqrt',
                       min_samples_split=0.5, random_state=42)","{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 0.5, 'random_state': 42, 'splitter': 'best'}",0.7,0.09185586535436918,0.85,0.09354143466934853,0.55,0.15,0.7796875,0.5125,0.52,0.325,0.4,0.025000000000000022
1,_RF,"RandomForestClassifier(criterion='entropy', max_depth=3, n_estimators=10,
                       random_state=0)","{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'random_state': 0}",0.625,0.10458250331675945,0.55,0.1695582495781317,0.7,0.203100960115899,0.74375,0.5375,0.5348837209302325,0.575,0.5542168674698795,0.07499999999999996
2,_SVM,"SVC(C=1, class_weight={0: 3}, kernel='poly', probability=True, random_state=0)","{'C': 1, 'class_weight': {0: 3}, 'gamma': 'scale', 'kernel': 'poly', 'probability': True, 'random_state': 0}",0.575,0.11456439237389601,0.725,0.18371173070873836,0.425,0.18708286933869706,0.734375,0.525,0.55,0.275,0.3666666666666667,0.050000000000000044
3,_LR,"LogisticRegression(C=100.0, fit_intercept=False, random_state=0)","{'C': 100.0, 'fit_intercept': False, 'max_iter': 100, 'random_state': 0, 'solver': 'lbfgs'}",0.6125,0.09185586535436918,0.625,0.07905694150420949,0.6,0.2,0.7,0.5875,0.5897435897435898,0.575,0.5822784810126582,0.17500000000000004
4,_KN,"KNeighborsClassifier(algorithm='ball_tree', n_neighbors=4, weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance'}",0.5625,0.11858541225631422,0.55,0.12747548783981963,0.575,0.18708286933869706,0.584375,0.5375,0.5384615384615384,0.525,0.5316455696202531,0.07499999999999996
5,_AD,"AdaBoostClassifier(algorithm='SAMME', estimator=DecisionTreeClassifier(),
                   learning_rate=0.01, random_state=0)","{'algorithm': 'SAMME', 'estimator': DecisionTreeClassifier(), 'learning_rate': 0.01, 'n_estimators': 50, 'random_state': 0}",0.5375,0.1403121520040228,0.6,0.16583123951777,0.475,0.1457737973711325,0.5375,0.55,0.5476190476190477,0.575,0.5609756097560975,0.09999999999999998
6,_GB,"GradientBoostingClassifier(loss='exponential', random_state=42)","{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'exponential', 'random_state': 42}",0.55,0.08291561975888499,0.625,0.19364916731037085,0.475,0.18371173070873836,0.61875,0.55,0.5476190476190477,0.575,0.5609756097560975,0.09999999999999998
7,_MLP,"MLPClassifier(activation='tanh', hidden_layer_sizes=(2,), max_iter=100,
              random_state=0)","{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (2,), 'learning_rate': 'constant', 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}",0.65,0.049999999999999996,0.4,0.1224744871391589,0.9,0.049999999999999996,0.71875,0.625,0.5862068965517241,0.85,0.6938775510204082,0.25
