,model,best_estimator,best_para,mean_test_accuracy,std_test_accuracy,mean_test_specificity,std_test_specificity,mean_test_sensitivity,std_test_sensitivity,mean_test_AUC,Accuracy,Precision,Recall,F1_Score,kappa_score
0,_DT,"DecisionTreeClassifier(min_samples_leaf=5, random_state=0)","{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 0, 'splitter': 'best'}",0.7308333333333333,0.07367345368433449,0.7142857142857142,0.10654595635840214,0.7464285714285714,0.07354021529276428,0.7381696428571429,0.717948717948718,0.6808510638297872,0.8205128205128205,0.7441860465116279,0.4358974358974359
1,_RF,"RandomForestClassifier(max_depth=3, max_features='log2', n_estimators=70,
                       random_state=0)","{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 70, 'random_state': 0}",0.5974999999999999,0.18947295321496416,0.6607142857142857,0.2309032839320659,0.5357142857142857,0.17605367919808912,0.6794642857142857,0.5512820512820513,0.5555555555555556,0.5128205128205128,0.5333333333333333,0.10256410256410253
2,_SVM,"SVC(C=15, class_weight={0: 2}, gamma='auto', probability=True, random_state=0)","{'C': 15, 'class_weight': {0: 2}, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 0}",0.5258333333333334,0.048333333333333325,0.8964285714285716,0.09476070829586856,0.15357142857142855,0.12195265056402765,0.6879464285714285,0.5897435897435898,0.7333333333333333,0.28205128205128205,0.4074074074074074,0.17948717948717952
3,_LR,"LogisticRegression(C=0.01, random_state=0)","{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'random_state': 0, 'solver': 'lbfgs'}",0.5991666666666667,0.1151810169544733,0.6714285714285715,0.3480265061451381,0.55,0.2806243040080456,0.6772321428571428,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,-0.6923076923076923
4,_KN,"KNeighborsClassifier(algorithm='ball_tree', n_neighbors=4)","{'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'uniform'}",0.5366666666666667,0.08314144574157945,0.8214285714285715,0.12626906806902635,0.25357142857142856,0.15542896533563533,0.5886160714285715,0.5641025641025641,0.6,0.38461538461538464,0.46875,0.1282051282051282
5,_AD,"AdaBoostClassifier(algorithm='SAMME', estimator=DecisionTreeClassifier(),
                   learning_rate=0.01, random_state=42)","{'algorithm': 'SAMME', 'estimator': DecisionTreeClassifier(), 'learning_rate': 0.01, 'n_estimators': 50, 'random_state': 42}",0.5891666666666666,0.11256479615462966,0.5142857142857142,0.22542476911513573,0.6678571428571429,0.053690344208474676,0.5910714285714286,0.6282051282051282,0.6388888888888888,0.5897435897435898,0.6133333333333332,0.2564102564102564
6,_GB,"GradientBoostingClassifier(criterion='squared_error', random_state=42)","{'criterion': 'squared_error', 'learning_rate': 0.1, 'loss': 'log_loss', 'random_state': 42}",0.6783333333333333,0.08621678104251708,0.6392857142857142,0.16880431854423533,0.7178571428571429,0.09271967846962265,0.7741071428571429,0.6538461538461539,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.3076923076923077
7,_MLP,"MLPClassifier(activation='identity', hidden_layer_sizes=(4,),
              learning_rate='adaptive', random_state=42, solver='sgd')","{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4,), 'learning_rate': 'adaptive', 'max_iter': 200, 'random_state': 42, 'solver': 'sgd'}",0.65,0.13041067611374632,0.7642857142857142,0.15787168646643104,0.5357142857142857,0.11065666703449763,0.7183035714285715,0.5897435897435898,0.6206896551724138,0.46153846153846156,0.5294117647058824,0.17948717948717952
