2024-05-11-09:31:23.038741,-3.43338315417379,-6.50457010954753,-1.55427427681752,-4.00606090954497
2024-05-11-09:31:23.038741,-3.40945714567763,-6.47975774481634,-1.50824920084128,-3.98728848287104
2024-05-11-09:31:23.038741,-3.38604724334364,-6.43998204128201,-1.44981513757465,-3.94958468378483
2024-05-11-09:31:23.038741,-3.40696450251035,-6.48782283857515,-1.53796083421334,-3.99646806674815
2024-05-11-09:31:23.038741,-3.42763492829515,-6.50332472293882,-1.54172691323727,-4.0120821481036
2024-05-11-09:31:23.038741,-3.37277620916644,-6.43225353849853,-1.4254702603092,-3.92707983718449
2024-05-11-09:31:23.038741,-3.38527495405025,-6.44805461484027,-1.49054451553908,-3.95588828477276
2024-05-11-09:31:23.038741,-3.42314517867426,-6.46825007335989,-1.52262537538747,-3.99993308384416
2024-05-11-09:31:23.038741,-3.43356827921022,-6.4664941904386,-1.48939075647365,-3.98468738261171
2024-05-11-09:31:23.038741,-3.41913039631855,-6.44322266439446,-1.47134761024627,-3.9439318253492
2024-05-11-09:31:23.038741,-3.48507978808429,-6.51739983555708,-1.58064243983466,-4.02518862669286
2024-05-11-09:31:23.038741,-3.46197281762809,-6.49876952507273,-1.53794213471471,-4.01088912009105
2024-05-11-09:31:23.038741,-3.4056704972052,-6.41437307790922,-1.44332080170071,-3.93458581593429
2024-05-11-09:31:23.038741,-3.46287226351216,-6.48988913317369,-1.56162504972869,-4.01682995080557
2024-05-11-09:31:23.038741,-3.45693891259709,-6.49022572414901,-1.5538666277474,-4.02770557920836
2024-05-11-09:31:23.054361,-3.41499406722176,-6.43071082986161,-1.45631321334833,-3.9718557866523
2024-05-11-09:31:23.054361,-3.458017873668,-6.46697663750323,-1.52666446709139,-3.9705187725003
2024-05-11-09:31:23.054361,-3.4754196270924,-6.49253137233,-1.55275400757896,-4.03088823387506
2024-05-11-09:31:23.116869,-3.47795527910653,-6.48453359676626,-1.52788554435188,-4.02513439814683
2024-05-11-09:31:23.116869,-3.45565986689084,-6.44106661220251,-1.49121769748974,-3.9277754585335
2024-05-11-09:31:23.116869,-3.4935226117154,-6.49402359232062,-1.55547291467966,-4.01056561876476
2024-05-11-09:31:23.116869,-3.49158347370755,-6.48009059589194,-1.50165388767473,-4.01855778447892
2024-05-11-09:31:23.116869,-3.47933343215551,-6.43871047537522,-1.44792835816296,-3.95990306712846
2024-05-11-09:31:23.116869,-3.53156113182708,-6.50294325316678,-1.55095885571055,-4.02202654147465
2024-05-11-09:31:23.116869,-3.53903345147934,-6.48616419304673,-1.51713707253978,-4.03419243528285
